,classification,occupation_title,male_count,female_count,male_pay,female_pay
0,Manufacturing & Construction,"Vehicle technicians, mechanics and electricians",186605,1501,14.63,11.35
1,Manufacturing & Construction,Metal working production and maintenance fitters,174435,3447,16.77,15.61
2,Technology & Engineering,Civil engineers,80072,9148,22.29,21.57
3,Technology & Engineering,Engineering professionals n.e.c.,94963,12289,22.17,20.45
4,Technology & Engineering,Engineering technicians,85280,12206,20.04,19.39
5,Technology & Engineering,IT user support technicians,83242,26814,16.44,15.44
6,Healthcare & Medicine,Caretakers,65631,26610,12.13,11.7
7,Technology & Engineering,IT operations technicians,89700,42291,15.7,15.58
8,Finance & Business,Business sales executives,114181,57416,16.57,14.63
9,Healthcare & Medicine,Laboratory technicians,65203,33935,13.21,12.25
10,Finance & Business,Finance and investment analysts and advisers,135975,83098,22.06,20.57
11,Education & Research,"Sports coaches, instructors and officials",71100,44861,12.82,12.71
12,Education & Research,Higher education teaching professionals,111776,76119,26.91,24.91
13,Finance & Business,Functional managers and directors n.e.c.,74850,71864,36.99,26.07
14,Finance & Business,Chartered and certified accountants,120320,125235,24.56,23.97
15,Education & Research,Further education teaching professionals,66360,70948,22.11,22.82
16,Education & Research,Secondary education teaching professionals,203758,303298,27.28,26.11
17,Finance & Business,Office managers,51008,129994,19.84,16.48
18,Healthcare & Medicine,Senior care workers,19270,83766,12.19,12.15
19,Healthcare & Medicine,Nursing auxiliaries and assistants,75409,337028,12.65,12.74
20,Healthcare & Medicine,Care workers and home carers,165020,830991,11.79,11.82
21,Education & Research,School midday and crossing patrol occupations,19042,102093,11.08,11.26
22,Education & Research,Educational support assistants,20600,155631,12.03,11.94
23,Education & Research,Teaching assistants,44783,419971,12.23,12.34
24,Finance & Business,Personal assistants and other secretaries,9382,137139,12.27,14.37
